Year,Month,Day,0830-0900,0900-1000,1000-1100,1100-1200,1200-1300,1300-1400,1400-1500,1500-1600,1600-1700,1700-1800,1800-1900,1900-2000,2000-2100,2100-2200,2200-2300,2300-2400,0000-0100,0100-0200,0200-0300,0300-0400,0400-0500,0500-0600,0600-0700,0700-0800,0800-0830,Daily,ROB Total
2023,April,21,0,0,0,0,0,0,1.9,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
2023,April,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tr
2023,April,23,0,0,0,0,0,0,0,0,1.2,0.2,1.3,1.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,4.1,4.1
2023,April,24,0,0,0,0,0,0,0.4,0,0.1,0.8,1.3,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2.7
2023,April,25,0,0,0,0,0,0,0.3,0,0,0.6,1.6,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6,2.6
2023,April,26,0,0,0,0,0,0,0,0.6,2.5,16.4,17.6,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,37.2,38.1
2023,April,27,0,0,0,0,0,0,0,5.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.1,5.1
2023,April,28,0,0,0,0,0,53.2,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.7,53.7
2023,April,29,0,0,0,0,2.2,8.1,0.5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.9,10.9
2023,April,30,0,0,0,0,0,0,0,1.1,8.7,2.7,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.9,13.9
2023,May,1,0,0,0,0,0,0,Tr,0.8,0.3,0.6,Tr,6.7,0.1,0.6,0.1,0,0,0,0,0,0,0,0,0,0,9.2,9.2
2023,May,2,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,1,1
2023,May,3,0,0,0,0,0,0,4.5,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,xx,xx,0,xx,7
2023,May,4,0,0,0,0,0,0,0,0,0,0,0,Tr,0.1,1.3,0.6,0.7,0.2,0,0,0.1,0,0,0,0.2,0,3.2,3.2
2023,May,5,0,Tr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tr,Tr
2023,May,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8,12.3,0.4,0,0.1,0,15.6,15.9
2023,May,7,0,0,0,0,0,0,8.7,0,0,0.5,0,0,0,0,0,0,0,0,0,4.7,1,0,0,1.9,0,16.8,16.4
2023,May,8,0,0,2.5,0,0,0.2,0,0,0,0,0,0,0.1,0,0,0,0,0.5,24.6,3.6,0.6,0,0,0.8,0.5,33.4,33.8
2023,May,9,0.3,0,0,0,0,14.8,6.9,2.2,1.1,0.7,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.5,26.5
